np_id,target_chembl_id,uniprot_id,target_organism,smiles
NPC168829,CHEMBL6135,B4URF0,Influenza A virus,C=CCc1ccc(c(c1)c1ccc(c(c1)CC=C)O)O
NPC481465,CHEMBL3180,O00748,Homo sapiens,C[C@@]1(c2ccc(c(c2C[n+]2ccc3cc(c(cc3c12)OC)OC)OC)OC)O.C(=O)(C(F)(F)F)[O-]
NPC21378,CHEMBL5658,O14684,Homo sapiens,CCc1oc(=O)c(c(c1C)O)Cc1c(O)c(CC=C(C)C)c(c(c1O)C(=O)C)O
NPC484493,CHEMBL4078,O42275,Electrophorus electricus,CC(C)NP(=O)(NC(C)C)OP(=O)(NC(C)C)NC(C)C
NPC244903,CHEMBL3318,O42713,Agaricus bisporus,COc1cc(ccc1O)[C@H]1[C@H]2C=C([C@H]3[C@@H]1CO[C@]3(C2=O)O)[C@@H]1[C@H](C(=O)c2c(cc(cc2O1)O)O)O
NPC241165,CHEMBL3242,O43570,Homo sapiens,CCCc1cc(=O)oc2c1c1OC(C)(C)C=Cc1c1c2[C@H](O)[C@@H]([C@H](O1)C)C
NPC98371,CHEMBL203,P00533,Homo sapiens,CN[C@@H]1C[C@H]2O[C@]([C@@H]1OC)(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CN=C1O
NPC297145,CHEMBL204,P00734,Homo sapiens,COC(=O)[C@@H]1CCCN1C(=O)[C@H](N(C(=O)[C@@H](N=C([C@H]([C@H](O)C)N=C(C[C@@H]([C@@H](N=C([C@@H](N=C([C@@H](N=C([C@@H](C(C)C)OC(=O)[C@H](C(C)C)OC(=O)[C@@H](N(C)C)C(C)C)O)CC(C)C)O)CC(=N)O)O)CC(C)C)O)O)O)C)C)Cc1ccccc1
NPC31344,CHEMBL3305,P04278,Homo sapiens,COc1cc(ccc1O)C[C@H]1COC[C@@H]1Cc1ccc(c(c1)OC)O
NPC480244,CHEMBL2949,P05979,Ovis aries,CC(C)c1ccc2c(c1)c(c(CC(C)(C)C(=O)O)n2Cc1ccc(cc1)Cl)SC(C)(C)C
NPC473249,CHEMBL3880,P07900,Homo sapiens,CO[C@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(C2=O)N=C(O)/C(=C/C=C\[C@@H]([C@H](/C(=C/[C@@H]([C@H]1O)C)/C)OC(=N)O)OC)/C
NPC281398,CHEMBL2622,P07943,Rattus norvegicus,O=C1c2c3CCCC(c3ccc2c2c(C1=O)c(C)co2)(C)C
NPC277510,CHEMBL1957,P08069,Homo sapiens,O=Cc1c(c2cc3c(o2)c(O)c(c(c3C=O)C)O)c(C)c(c(c1O)O)O
NPC469812,CHEMBL4302,P08183,Homo sapiens,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1CCC2(CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)OC1C(C)C
NPC473398,CHEMBL248,P08246,Homo sapiens,CC1C=CC=C(C(C(C(C=CC(=CC(=CC(C(C=C(CC=CC(=O)OC1C2=CSC(=N2)C(CC(C)C)OC(=O)NC)C)O)C)C)C)O)C)OC)C
NPC484440,CHEMBL3717,P08581,Homo sapiens,Cc1c(/C=C\2/c3cc(ccc3N=C2O)S(=O)(=O)N(C)c2cccc(c2)Cl)[nH]c(C)c1C(=O)N1CCN(C)CC1
NPC187022,CHEMBL1867,P08913,Homo sapiens,CC[C@H]1CN2CCc3cc(c(cc3[C@@H]2C[C@@H]1C[C@@H]1c2cc(c(cc2CCN1)OC)OC)OC)OC
NPC148523,CHEMBL215,P09917,Homo sapiens,C[C@@H]1CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H]([C@@](C)([C@@H]5CC[C@@]34C)C(=O)O)O)[C@@H]2[C@H]1C
NPC61010,CHEMBL5189,P10481,Clostridium perfringens,COc1c(O)cc2c(c1CCC(O)(C)C)c(=O)c1c(o2)cc(c(c1O)CC=C(C)C)O
NPC56271,CHEMBL2147,P11309,Homo sapiens,COc1cc2c(cc1OCCCN1CCOCC1)c(ncn2)Nc1ccc(c(c1)Cl)F
NPC131204,CHEMBL1907596,P12390,Rattus norvegicus,C[NH+]1CCc2cc(c(cc2C1)O)OC
NPC317567,CHEMBL4358,P12530,Oryctolagus cuniculus,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2c(O)c(/C=N/N4CCN(CC4)C)c(c(c2c(c3C)O)O)N=C(/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C)O
NPC117244,CHEMBL2095194,P13726,Homo sapiens,CC[C@H](C)[C@H]1C(=O)N2CCCC[C@@H]2C(=N[C@@H](CCCCCC(=O)CC)C(=N[C@@H](Cc2cn(c3ccccc23)OC)C(=N1)O)O)O
NPC206372,CHEMBL217,P14416,Homo sapiens,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(c(c1)S(=O)(=O)N)OC
NPC112552,CHEMBL4685,P14902,Homo sapiens,COC1=CC(=O)c2c(C1=O)cccc2
NPC98371,CHEMBL299,P17252,Homo sapiens,CN[C@@H]1C[C@H]2O[C@]([C@@H]1OC)(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CN=C1O
NPC318591,CHEMBL273,P19327,Rattus norvegicus,OC(COc1cccc2c1cccc2)CNC(C)C
NPC47135,CHEMBL218,P21554,Homo sapiens,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)N=CO
NPC321617,CHEMBL2056,P21728,Homo sapiens,OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2c1cccc2
NPC320656,CHEMBL338,P23977,Rattus norvegicus,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
NPC187432,CHEMBL318,P25099,Rattus norvegicus,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccccc1
NPC160900,CHEMBL4662,P28074,Homo sapiens,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(c(c2)OC)O)ccc1O
NPC155444,CHEMBL224,P28223,Homo sapiens,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(N1C(=O)[C@](C(C)C)(N=C([C@@H]1C=C3c4cccc5c4c(C[C@H]3N(C)C1)c[nH]5)O)O2)O
NPC310373,CHEMBL225,P28335,Homo sapiens,COc1cc(/C=C/C(=O)O)cc(c1OC)OC
NPC202666,CHEMBL4235,P28845,Homo sapiens,CC1(C)[C@@H]2CC[C@]3(C)[C@H](C(=O)C=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)C(=O)O)[C@@]2(C)CC[C@@H]1O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O1)O)O)O
NPC482298,CHEMBL3464,P29477,Mus musculus,C(=N)(N)NN
NPC243475,CHEMBL228,P31645,Homo sapiens,CN1CC[C@@]2(C=CC(=O)C[C@H]12)c1ccc(c(c1)OC)OC
NPC476561,CHEMBL233,P35372,Homo sapiens,CN1C(=[NH2+])C2=C(NC1=O)N(C)C(=O)N2.[Cl-]
NPC160951,CHEMBL279,P35968,Homo sapiens,COc1ccc(cc1O)c1cc(=O)c2c(cc(c(c2O)OC)OC)o1
NPC470090,CHEMBL1974,P36888,Homo sapiens,Oc1c2ccccc2c2c3c1cccc3N=N2
NPC130193,CHEMBL262,P49841,Homo sapiens,O/C(=C\C(=O)/C=C/c1ccc(cc1)O)/C=C/c1ccc(cc1)O
NPC136508,CHEMBL3371,P50406,Homo sapiens,CN1CCc2cc(c(c3-c4cc(c(cc4C[C@H]1c23)O)OC)OC)OC
NPC140840,CHEMBL3649,P80457,Bos taurus,Oc1ccc2c(c1)O/C(=C\c1ccc(c(c1)O)O)/C2=O
NPC115554,CHEMBL5763,P81908,Equus caballus,C[C@H]1CC[C@@H]2[C@@H](C)[C@@H]3CC[C@@H]4[C@@H](C[C@H]5[C@H]4C[C@H]([C@H]4C[C@H](CC[C@]54C)O)O)[C@@H]3CN2C1
NPC192533,CHEMBL5533,Q04206,Homo sapiens,O=C1C(=CC(=O)c2c1cccc2)Nc1ccccc1
NPC82285,CHEMBL4980,Q05941,Rattus norvegicus,CO[C@H]1C=CC2=CCN3[C@]2(C1)c1cc(OC)c(cc1CC3)O
NPC203426,CHEMBL4361,Q07820,Homo sapiens,CCC[C@H](Cc1c2c3c(C[C@@H](CCC)O)c(c(c4c3c3c5c2c(C(=O)c2c5c(c5c3c(C4=O)c(c(c5O)Br)O)c(c(c2O)Br)O)c(c1Br)O)O)Br)O
NPC155144,CHEMBL288,Q08499,Homo sapiens,Oc1cc(O)cc(c1)c1oc2c(c1)ccc(c2)O
NPC326645,CHEMBL2808,Q13133,Homo sapiens,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
NPC469975,CHEMBL1907600,Q15078,Homo sapiens,CC[C@@H](N=c1[nH]c(NCc2ccccc2)c2c(n1)n(cn2)C(C)C)CO
NPC473249,CHEMBL4261,Q16665,Homo sapiens,CO[C@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(C2=O)N=C(O)/C(=C/C=C\[C@@H]([C@H](/C(=C/[C@@H]([C@H]1O)C)/C)OC(=N)O)OC)/C
NPC250999,CHEMBL3594,Q16790,Homo sapiens,S=c1ccccn1[O-].S=c1ccccn1[O-].[Zn+2]
NPC32308,CHEMBL4106139,Q548M1,Escherichia coli,C=Cc1c(C)/c/2=C/C\3=N/C(=C\c4c(CCC(=O)O)c(C)c(C=C\5/C(=C(C)/C(=N5)C=c\1/[nH]2)C=C)[nH]4)/C(=C3C)CCC(=O)O
NPC127827,CHEMBL247,Q72547,Human immunodeficiency virus 1,COc1cc2c(cc1OC)cc1c(c2c2ccc3c(c2)OCO3)COC1=O
NPC315957,CHEMBL4106139,Q7BGE6,Escherichia coli,CC(CCCN)Nc1cc(cc2cccnc12)OC
NPC181523,CHEMBL3471,Q7ZJM1,Human immunodeficiency virus 1,Cc1cc(c(C=O)c2c1C(=O)Oc1c(COC(=O)/C=C/C(=O)[O-])c(c(c(C)c1O2)C(=O)O)O)[O-]
NPC42060,CHEMBL5409,Q8TDU6,Homo sapiens,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C
NPC273709,CHEMBL242,Q92731,Homo sapiens,COc1cc(ccc1O)C1C(CO)c2cc(/C=C/CO)cc(c2O1)OC
NPC469812,CHEMBL2047,Q96RI1,Homo sapiens,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1CCC2(CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)OC1C(C)C
NPC471690,CHEMBL4247,Q9UM73,Homo sapiens,COCc1c(C)c(O)c(c(c1C=O)O)O
NPC471632,CHEMBL1697668,Q9Y6L6,Homo sapiens,CCC(C)C(C(=O)OC1C(C(C(=C)C2(C1(C(CC2=O)C3=COC=C3)C)O)C4(C(CC(=O)OC(C4C(=O)OC)(C)COC(=O)C)OC(=O)C)C)OC=O)O
